"permissionId", "declaringType","returnType","name","argTypes"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","copyMessageToIccEf","Ljava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","updateMessageOnIccEf","Ljava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","copyMessageToIccEfForSubscriber","ILjava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","updateMessageOnIccEfForSubscriber","ILjava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","copyMessageToIccEfForSubscriber","ILjava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","copyMessageToIccEfForSubscriber","ILjava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","copyMessageToIccEf","Ljava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","updateMessageOnIccEfForSubscriber","ILjava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","updateMessageOnIccEfForSubscriber","ILjava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","updateMessageOnIccEf","Ljava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","copyMessageToIccEfForSubscriber","ILjava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","copyMessageToIccEf","Ljava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","copyMessageToIccEf","Ljava/lang/String;I[B[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","updateMessageOnIccEfForSubscriber","ILjava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","updateMessageOnIccEf","Ljava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","updateMessageOnIccEf","Ljava/lang/String;II[B"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","copyMessageToIcc","[B[BI"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","copyMessageToIccEf","Ljava/lang/String;I[B[B"
